Annotation,Domain ID,Matched Members,Matched Count,Summed Significance Score,Enrichment P-value,Enrichment Q-value,Depletion P-value,Depletion Q-value
spindle assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial respiratory chain complex II assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
pyridine nucleotide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to osmotic stress,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of translational fidelity,5,CTK1;CTK2;CTK3;GCD11;HPM1;RPS2;RPS9B,7,126.14393726401687,0.003,0.35263636363636364,1.0,1.0
sno(s)RNA 3'-end processing,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of carbohydrate catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mRNA 5'-splice site recognition,-1,,0,0.0,1.0,1.0,1.0,1.0
actin polymerization or depolymerization,47,ABP1;AIM21;AIM3;AIP1;ARC15;ARC18;ARC19;ARC35;BNI1;BUD14;BZZ1;CAP1;CAP2;COF1;LAS17;PFY1;SLA1;SRV2;TDA2;TWF1,20,31.193820026016112,0.001,0.1293,1.0,1.0
actomyosin contractile ring contraction,-1,,0,0.0,1.0,1.0,1.0,1.0
'de novo' post-translational protein folding,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of growth,-1,,0,0.0,1.0,1.0,1.0,1.0
plasma membrane organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mitotic cytokinesis,-1,,0,0.0,1.0,1.0,1.0,1.0
proton motive force-driven ATP synthesis,19,ATP1;ATP14;ATP15;ATP16;ATP17;ATP18;ATP19;ATP2;ATP20;ATP3;ATP4;ATP5;ATP6;ATP7;TIM11;VMA1,16,123.0,0.001,0.21550000000000002,1.0,1.0
aminoglycan metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
spliceosomal complex assembly,20,BRR1;CDC40;CLF1;CUS1;EXO84;HSH155;IST3;ISY1;LUC7;MUD2;NAM8;PRP11;PRP28;PRP39;PRP42;PRP8;PRP9;RDS3;RSE1;SAD1;SKY1;SPT5;YHC1,23,189.0,0.001,0.21550000000000002,1.0,1.0
regulation of growth of unicellular organism as a thread of attached cells,-1,,0,0.0,1.0,1.0,1.0,1.0
terpenoid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein urmylation,-1,,0,0.0,1.0,1.0,1.0,1.0
purine-containing compound catabolic process,38,AAH1;CDC19;CIT1;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;GUD1;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;SAH1;SCS3;SMN1;TDH1;TDH2;TDH3;TPI1;URH1,29,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
positive regulation of catalytic activity,-1,,0,0.0,1.0,1.0,1.0,1.0
response to heat,56,DDR2;GAC1;GCN3;GET3;GLC7;GLE2;HSC82;HSF1;HSP104;HSP12;HSP26;HSP42;HSP78;HSP82;LCB5;LSP1;MDJ1;NMA111;NUP100;NUP120;NUP133;NUP188;NUP2;NUP60;NUP84;OLA1;SGT2;SIS1;TOR1;TPS1;TPS2;TTI2;YAP1;YDJ1,34,18.0,0.001,0.09235714285714286,1.0,1.0
mitochondrial RNA metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of reproductive process,-1,,0,0.0,1.0,1.0,1.0,1.0
aromatic amino acid metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
purine ribonucleoside biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
peroxisomal membrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
monosaccharide biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
catabolite repression,-1,,0,0.0,1.0,1.0,1.0,1.0
mRNA export from nucleus in response to heat stress,56,GLE2;NUP100;NUP120;NUP133;NUP188;NUP2;NUP60;NUP84,8,18.0,0.001,0.09235714285714286,1.0,1.0
negative regulation of actin filament polymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
biogenic amine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mitotic nuclear division,48,APC11;APC5;BFR1;BUB1;BUB3;CDC16;CDC23;CDC55;CDH1;CEP3;CHL4;CTF19;CTF3;DSL1;FIN1;GAC1;GLC7;IBD2;ISC1;MAD1;MAD2;MND2;MPS1;NUP53;PSE1;RTT101;SPC105;TPD3;ULP2,29,24.0,0.001,0.11754545454545455,1.0,1.0
pyrimidine ribonucleoside triphosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
polysaccharide catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
ribonucleoside triphosphate biosynthetic process,19,ATP1;ATP14;ATP15;ATP16;ATP17;ATP18;ATP19;ATP2;ATP20;ATP3;ATP4;ATP5;ATP6;ATP7;CPA2;DAS2;IMD2;IMD3;IMD4;TIM11;URA2;URA7;URK1;VMA1;YNK1,25,123.0,0.001,0.21550000000000002,1.0,1.0
negative regulation of organelle assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
protein insertion into membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleosome disassembly,30,ARP7;ARP9;ASF1;HTL1;LDB7;NAP1;NPL6;RSC1;RSC2;RSC3;RSC30;RSC4;RSC58;RSC6;RSC8;RSC9;RTT102;SFH1;STH1;YTA7,20,81.0,0.001,0.2350909090909091,1.0,1.0
negative regulation of transcription by RNA polymerase I,-1,,0,0.0,1.0,1.0,1.0,1.0
protein acylation,5,ADA2;AKR1;AKR2;ARD1;MAK10;MAK3;MAK31;MDM20;NAT1;NAT3;NAT5;NMT1;PFA3,13,150.0,0.001,0.1293,1.0,1.0
cellular response to amino acid starvation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of binding,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of small molecule metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of mitotic spindle pole body separation,-1,,0,0.0,1.0,1.0,1.0,1.0
cristae formation,19,ATP14;ATP20;MIC10;MIC19;MIC26;MIC27;MIC60;TIM11,8,123.0,0.001,0.21550000000000002,1.0,1.0
"regulation of cytokinesis, actomyosin contractile ring assembly",-1,,0,0.0,1.0,1.0,1.0,1.0
monosaccharide transmembrane transport,-1,,0,0.0,1.0,1.0,1.0,1.0
carbon catabolite regulation of transcription,32,ADR1;CAT8;CST6;ERT1;GCR1;HAP5;IMP21;MIG1;NRG2;RAS2;RDS2;SNF5;SNF8;SPT6;SRB8;SSN2;SSN3;SSN8;STB3;SWI1;SWI3;TUP1;VPS25;VPS36,24,60.0,0.001,0.14366666666666666,1.0,1.0
protein localization to cell cortex,-1,,0,0.0,1.0,1.0,1.0,1.0
"vesicle targeting, to, from or within Golgi",-1,,0,0.0,1.0,1.0,1.0,1.0
actin nucleation,47,ABP1;ARC15;ARC18;ARC19;ARC35;ARC40;ARP2;ARP3;BBC1;BNI1;BUD6;BZZ1;HOF1;LAS17;LSB1;MYO3;MYO5;PAN1;PIN3;SLA1;SLA2;VRP1,22,27.0,0.001,0.1293,0.986,1.0
sulfur compound transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of membrane lipid distribution,-1,,0,0.0,1.0,1.0,1.0,1.0
spindle pole body organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of transcription by glucose,-1,,0,0.0,1.0,1.0,1.0,1.0
proteasome assembly,14,ADD66;BLM10;ECM29;HSC82;HSM3;HSP82;IRC25;NAS2;NAS6;NOB1;PBA1;PNO1;POC4;PRE2;PRE4;PRE9;RPN10;RPN11;RPN14;RPN2;RPN6;RPN9;RPT1;RPT2;RPT3;RPT4;RPT5;RPT6;SEM1;SLT2;UMP1,31,123.0,0.001,0.06805263157894736,1.0,1.0
protein kinase A signaling,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA double-strand break processing,-1,,0,0.0,1.0,1.0,1.0,1.0
rRNA 5'-end processing,-1,,0,0.0,1.0,1.0,1.0,1.0
folic acid-containing compound metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein histidyl modification to diphthamide,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of lipid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
response to amino acid,-1,,0,0.0,1.0,1.0,1.0,1.0
nitrogen catabolite regulation of transcription from RNA polymerase II promoter,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of DNA damage checkpoint,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of DNA-templated DNA replication initiation,-1,,0,0.0,1.0,1.0,1.0,1.0
carbon catabolite activation of transcription from RNA polymerase II promoter,32,ADR1;CAT8;CST6;ERT1;HAP5;RDS2;SNF5;SSN2;SSN3;STB3;SWI1;SWI3,12,60.0,0.001,0.14366666666666666,1.0,1.0
regulation of vesicle fusion,55,HRR25;SEC1;SEC6;SLY1;VPS45,5,12.0,0.01,1.0,1.0,1.0
regulation of sister chromatid segregation,48,APC1;APC11;APC2;APC5;BUB1;BUB3;CDC16;CDC23;CDC27;CDC55;CDH1;CEP3;CHL4;CIN8;CLB2;CTF19;CTF3;DSL1;FIN1;GAC1;GLC7;IBD2;ISC1;MAD1;MAD2;MND2;MPS1;SDS23;SDS24;SPC105;SWM1;TPD3;ULP2,33,20.1830299622427,0.003,0.2770714285714286,1.0,1.0
hydrogen peroxide metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to organonitrogen compound,-1,,0,0.0,1.0,1.0,1.0,1.0
fatty acid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
establishment of mitotic spindle localization,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of protein ubiquitination,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of dephosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of phosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of intracellular protein transport,10,CLA4;DFM1;FUS3;GPA1;MSG5;POR1;SAR1;SCS2;SKY1;SLT2;SPC2;STE24,12,98.9442898135512,0.005,0.1701315789473684,0.993,1.0
translesion synthesis,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of protein-containing complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
ATP export,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of G2/M transition of mitotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to phagophore assembly site,-1,,0,0.0,1.0,1.0,1.0,1.0
tRNA re-export from nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular sphingolipid homeostasis,51,GNP1;VPS51;VPS52;VPS53;VPS54,5,14.320302433924725,0.009,1.0,1.0,1.0
DNA unwinding involved in DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
methionine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
"nuclear-transcribed mRNA catabolic process, exonucleolytic",-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of G1/S transition of mitotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
