 Domain ID                                                                                                                                          Annotation                                                                                                                                                                                                       Annotation Members in Network  Annotation Members in Network Count  Summed Significance Score  Enrichment P-value  Enrichment Q-value  Depletion P-value  Depletion Q-value
         7                                                                                                                      pyridoxal 5'-phosphate salvage                                                                                                                                                                                                                          BUD17;PDX3                                    2                  41.938200               0.040            1.000000              1.000                1.0
         7                                                                                                            pyridoxal phosphate biosynthetic process                                                                                                                                                                                                                          BUD17;PDX3                                    2                  41.938200               0.040            1.000000              1.000                1.0
         7                                                                                                                     vitamin B6 biosynthetic process                                                                                                                                                                                                                          BUD17;PDX3                                    2                  41.938200               0.040            1.000000              1.000                1.0
         7                                                                                                                                      NADH oxidation                                                                                                                                                                                                                      ADH3;GPD1;NDI1                                    3                  40.696420               0.044            1.000000              0.996                1.0
         7                                                                                                                  positive regulation of RNA binding                                                                                                                                                                                                                     MPT5;SNU13;YHC1                                    3                  39.562763               0.048            1.000000              0.992                1.0
         8                                                                                                                       mitochondrial DNA replication                                                                                                                                                                                                                           MHR1;RIM1                                    2                  76.411065               0.024            1.000000              1.000                1.0
         8                                                                                          positive regulation of mitochondrial DNA metabolic process                                                                                                                                                                                                                           MHR1;RIM1                                    2                  76.411065               0.024            1.000000              1.000                1.0
         8                                                                                                                 mitochondrial DNA metabolic process                                                                                                                                                                                                                      MHR1;PIM1;RIM1                                    3                  70.164128               0.032            1.000000              1.000                1.0
         8                                                                                                   regulation of mitochondrial DNA metabolic process                                                                                                                                                                                                                      MHR1;PIM1;RIM1                                    3                  70.164128               0.032            1.000000              1.000                1.0
         9                                                                                                                        acetate biosynthetic process                                                                                                                                                                                                                      ALD4;ALD5;ALD6                                    3                  96.872190               0.001            0.046800              1.000                1.0
         9                                                                                                                           acetate metabolic process                                                                                                                                                                                                                      ALD4;ALD5;ALD6                                    3                  96.872190               0.001            0.046800              1.000                1.0
         9                                                                                                                           ethanol metabolic process                                                                                                                                                                                                                 ALD4;ALD5;ALD6;PDC1                                    4                  94.162920               0.001            0.046800              1.000                1.0
         9                                                                                                                   primary alcohol metabolic process                                                                                                                                                                                                                 ALD4;ALD5;ALD6;PDC1                                    4                  94.162920               0.001            0.046800              1.000                1.0
         9                                                                                                          serine family amino acid catabolic process                                                                                                                                                                                                            CHA1;ILV1;LPD1;SHM1;SHM2                                    5                  90.305240               0.004            0.144000              1.000                1.0
         9                                                                                                                    2-oxoglutarate metabolic process                                                                                                                                                                                                                      KGD1;KGD2;LPD1                                    3                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                                     acetyl-CoA biosynthetic process                                                                                                                                                                                                            LAT1;LPD1;PDA1;PDB1;PDX1                                    5                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                                        acetyl-CoA metabolic process                                                                                                                                                                                                       KGD2;LAT1;LPD1;PDA1;PDB1;PDX1                                    6                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                                  alpha-amino acid catabolic process                                                                                                                                                               ALT1;BNA4;CAR1;CHA1;EHD3;GLY1;ILV1;KGD2;LPD1;PDC1;PUT2;SAH1;SHM1;SHM2                                   14                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                              dicarboxylic acid biosynthetic process                                                                                                                                                                                   AAT2;ARO3;BNA4;FOL2;GDH1;IDH1;IDH2;IDP1;MIS1;PUT2                                   10                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                                 dicarboxylic acid metabolic process                                                                                                                                AAT2;ARO3;BNA4;FOL2;FUM1;GDH1;HOM3;IDH1;IDH2;IDP1;KGD1;KGD2;LPD1;MDH1;MDH2;MIS1;PCS60;PUT2;SHM1;SHM2                                   20                  78.000000               0.001            0.046800              1.000                1.0
         9                                                                                                                      glutamate biosynthetic process                                                                                                                                                                                                            GDH1;IDH1;IDH2;IDP1;PUT2                                    5                  78.000000               0.001            0.046800              1.000                1.0
